"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Kenneth Fredslund Petersen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kenneth-Fredslund-Petersen-Dansk-Folkeparti/1493650460890885","Kenneth Fredslund Petersen - Dansk Folkeparti",1416,1590,"16-06-2015"
"Kenneth Kristensen Berth","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kennethkristensenberth","Kenneth Kristensen Berth",1881,985,"16-06-2015"
"Kent Weiss Holst","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/FolketingsKent","Kent Weiss Holst",101,73,"16-06-2015"
"Kim Hyttel","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/KimHyttelAlternativet","Kim Hyttel",298,68,"16-06-2015"
"Kirsten Brosbøl","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/kirsten.brosbol","Kirsten Brosb�l",7217,1415,"16-06-2015"
"Kirstine van Sabben","Det Konservative Folkeparti","Bornholms Storkreds","https://www.facebook.com/sabbendk","Kirstine van Sabben - Politiker i den virkelige verden",398,78,"16-06-2015"
"Kisser Franciska Lehnert","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/KisserLA","Kisser Franciska Lehnert Politiker - Liberal Alliance",528,42,"16-06-2015"
"Klaus Hjulmand","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/HjulmandLA","Klaus Hjulmand",197,11,"16-06-2015"
"Klaus Markussen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/pages/Klaus-Markussen-i-Folketinget/170651086300657","Klaus Markussen i Folketinget",321,164,"16-06-2015"
"Knud Damgaard","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/knuddla","Knud Damgaard",619,87,"16-06-2015"
"Kristian Andersen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stemkristian","Kristian Andersen - Nordjylland",2603,282,"16-06-2015"
"Kristian Hegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/Khegaard","Kristian Hegaard",5786,4853,"16-06-2015"
"Kristian Jensen","Venstre","Vestjyllands Storkreds","https://www.facebook.com/kristianjensen.venstre","Kristian Jensen",17018,6343,"16-06-2015"
"Kristian Thulesen Dahl","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kristian-Thulesen-Dahl/531761723507375","Kristian Thulesen Dahl",30986,23611,"16-06-2015"
"Kristian Tørning","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kristiantorning","Kristian T�rning",2046,1850,"16-06-2015"
"Kristian Westfall","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/kristian.w.jensen","Kristian Westfall",1546,255,"16-06-2015"
"Kristina Jørgensen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/Kristina.DanskFolkeparti?ref=br_tf","Kristina J�rgensen - Dansk Folkeparti",1258,846,"16-06-2015"
"Kristoffer Hjort Storm","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/KristofferHjortStorm","Kristoffer Hjort Storm",923,335,"16-06-2015"
"Kåre Traberg Smidt","Venstre","Københavns Storkreds","https://www.facebook.com/kaaretrabergsmidt","K�re Traberg Smidt",2102,4227,"16-06-2015"
"Laila Lauridsen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/lailalauridsen","Laila Lauridsen",1177,444,"16-06-2015"
"Lars Barfoed","Det Konservative Folkeparti","Københavns Storkreds","http://www.facebook.com/LarsBarfoed.Konservative","Lars Barfoed",11491,3155,"16-06-2015"
"Lars Chr. Lilleholt","Venstre","Fyns Storkreds","http://www.facebook.com/lilleholt","Lars Chr. Lilleholt",4915,2602,"16-06-2015"
"Lars Løkke Rasmussen","Venstre","Sjællands Storkreds","http://www.facebook.com/larsloekke","Lars L�kke Rasmussen",168559,48949,"16-06-2015"
"Laura Lindahl","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/politikerlauralindahl","Laura Lindahl",8106,2501,"16-06-2015"
"Lea Jannerup Lie","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Lea-Lie/427907994037061","Lea Lie",337,155,"16-06-2015"
"Lea Kielsholm","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/lea.maria.kielsholm","Lea Maria Kielsholm",413,227,"16-06-2015"
"Leif Lahn Jensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/LeifLahn","Leif Lahn Jensen",3390,811,"16-06-2015"
"Leif Mikkelsen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/leif.mikkelsen.524","Leif Mikkelsen",3954,876,"16-06-2015"
"Lene Foged","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Lene-Foged-Folketingskandidat/441211119381442","Lene Foged",219,22,"16-06-2015"
"Line Vanggaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/LineVanggaardPedersen","Line Vanggaard Pedersen",764,344,"16-06-2015"
"Lisbeth Bech Poulsen","Socialistisk Folkeparti","Nordjyllands storkreds","https://www.facebook.com/lisbethbechpoulsen","Lisbeth Bech Poulsen",5713,609,"16-06-2015"
"Lise Bech","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/Lise.Bech.DF","Lise Bech - Dansk Folkeparti",2085,954,"16-06-2015"
"Lise Müller","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/pages/Lise-M%C3%BCller/145989963343","Lise M�ller",738,223,"16-06-2015"
"Liselott Blixt","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/Pialiselottblixt","Liselott Blixt",1825,561,"16-06-2015"
"Liv Holm Andersen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/pages/Liv-Holm-Andersen/308871605863281","Liv Holm Andersen",2726,283,"16-06-2015"
"Lone Loklindt","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/lone.loklindt","Lone Loklindt",1892,443,"16-06-2015"
"Lotte Rod","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/lotterod","Lotte Rod",3015,617,"16-06-2015"
"Louise Lundbeck Krog","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/kroglouise","Louise Lundbeck Krog",110,35,"16-06-2015"
"Lynge Korsgaard","Alternativet","Østjyllands Storkreds","https://www.facebook.com/lyngekorsgaard.alternativet","Lynge Korsgaard - Alternativet",671,340,"16-06-2015"
"Mads Fuglede","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/mads.fuglede","Mads Fuglede",7011,4448,"16-06-2015"
"Mads Rørvig","Venstre","Vestjyllands Storkreds","https://www.facebook.com/madsrorvig.dk","Mads R�rvig",1997,686,"16-06-2015"
"Magnus Heunicke","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/heunicke","Magnus Heunicke",13155,15999,"16-06-2015"
"Mai Mercado","Det Konservative Folkeparti","Fyns Storkreds","https://www.facebook.com/maimercado.dk","Mai Mercado",8922,2311,"16-06-2015"
"Maja Panduro","Socialdemokratiet","Østjyllands Storkreds","http://da-dk.facebook.com/majapanduro","Maja Panduro",6499,1425,"16-06-2015"
"Maja Wolff Albrechtsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/albrechtsenmaja","Maja Albrechtsen",346,205,"16-06-2015"
"Malene Ravn Neumann","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/maleneravnneumann","Malene Ravn Neumann i Folketinget",649,269,"16-06-2015"
"Malene Rye Andersen","Enhedslisten","Fyns Storkreds","https://www.facebook.com/pages/Malene-Rye-Andersen-Enhedslisten/448899691891792","Malene Rye Andersen, folketingskandidat for Enhedslisten 2015",121,11,"16-06-2015"
"Malte Bang","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/MalteBang1","Malte Bang",1304,179,"16-06-2015"
"Malte Larsen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/stemMalteLarsenIfolketinget","Malte Larsen i Folketinget",862,298,"16-06-2015"
"Manu Sareen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/manu.sareen","Manu Sareen",22047,11656,"16-06-2015"
"Marcus Knuth","Venstre","Sjællands Storkreds","https://www.facebook.com/marcusknuth100","Marcus Knuth",322,10,"16-06-2015"
"Maria Reumert Gjerding","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/maria.gjerding","Maria Reumert Gjerding",1967,1040,"16-06-2015"
"Mariann Nørgaard","Venstre","Nordjyllands Storkreds","https://www.facebook.com/mariannnoergaard","Mariann N�rgaard",930,373,"16-06-2015"
"Marianne Jelved","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/jelved","Marianne Jelved",8220,1130,"16-06-2015"
"Marie Yvonne Rasmussen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/pages/Marie-Yvonne-Rasmussen/186600161419","Marie Yvonne Rasmussen",433,20,"16-06-2015"
"Mark Grossmann","Venstre","Fyns Storkreds","https://www.facebook.com/markgrossmann.politiker","Mark Grossmann",913,224,"16-06-2015"
"Marlene Borst Hansen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/pages/Marlene-Borst-Hansen/1495181064054338","Marlene Borst Hansen",2090,368,"16-06-2015"
"Martin Geertsen","Venstre","Københavns Storkreds","https://www.facebook.com/martin.geertsen","Martin Geertsen",10147,11979,"16-06-2015"
"Martin Kusk Madsen","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/McKusk","Martin K. Madsen",2088,612,"16-06-2015"
"Martin Lidegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/martin.lidegaard","Martin Lidegaard",9773,4196,"16-06-2015"
"Mathias Mogensen Brosbøl","KristenDemokraterne","Østjyllands storkreds","https://www.facebook.com/mathiasbrosboelKD","Mathias M. Brosb�l",143,142,"16-06-2015"
"Mathias von Jessen","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/mathiasvjessen","Mathias von Jessen",508,214,"16-06-2015"
"Mattias Tesfaye","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/stemtesfaye","Mattias Tesfaye",16937,20482,"16-06-2015"
"May-Britt Kattrup","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/mbkattrup","May-Britt Kattrup",469,53,"16-06-2015"
"Merete Riisager","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/merete.riisager","Merete Riisager",11786,8568,"16-06-2015"
"Mette Abildgaard","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/abildgaard.mette","Mette Abildgaard",3970,2119,"16-06-2015"
"Mette Bock","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/mette.bock.5","Mette Bock",8874,2516,"16-06-2015"
"Mette Frederiksen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/mettefrederiksen.dk","Mette Frederiksen",30106,10983,"16-06-2015"
"Mette Reissmann","Socialdemokratiet","Københavns Storkreds","http://www.facebook.com/mettereissmann","Mette Reissmann",6172,602,"16-06-2015"
"Mette Thiesen","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/mette.thiesen","Mette Thiesen",2983,1362,"16-06-2015"
"Mia Nyegaard","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/mianyegaardft","Mia Nyegaard",1101,99,"16-06-2015"
"Michael Aastrup Jensen","Venstre","Østjyllands Storkreds","https://www.facebook.com/michaelaastrup","Michael Aastrup Jensen",6125,739,"16-06-2015"
"Michael Blem Clausen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/michael.blemclausen","Michael Blem Clausen",1028,563,"16-06-2015"
"Michael Jellesmark","Venstre","Københavns Storkreds","https://www.facebook.com/pages/Michael-Jellesmark/573681519405216","Michael Jellesmark",181,175,"16-06-2015"
"Michael Melchert","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/Melchert.dk","Michael Melchert",204,1117,"16-06-2015"
"Michael Nedersøe","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Michael-Neders%C3%B8e-Dansk-Folkeparti/1448006052123626","Michael Neders�e - Dansk Folkeparti",512,326,"16-06-2015"
"Mike Legarth","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/mike.legarth","Mike Legarth",12888,1059,"16-06-2015"
"Miki Dam Larsen","Socialdemokratiet","Nordsjællands Storkreds","https://www.facebook.com/miki.dam.larsen","Miki Dam Larsen",2186,169,"16-06-2015"
"Mikkel Dragmose-Hansen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/pages/Mikkel-Dragmose-Hansen/55402727258","Mikkel Dragmose-Hansen",1487,369,"16-06-2015"
"Mikkel Lundemann Jensen","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/stemMIKKEL","Mikkel Lundemann Jensen",1244,528,"16-06-2015"
"Mogens Jensen","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/mogensjensen","Mogens Jensen",8153,2122,"16-06-2015"
"Mogens Lykketoft","Socialdemokratiet","Københavns Omegns Storkreds","http://www.facebook.com/lykketoft","Mogens Lykketoft",12843,2758,"16-06-2015"
"Mogens Nyholm","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/RadikaleVenstre.MogensNyholm","Mogens Nyholm",7,0,"16-06-2015"
"Morten Bødskov","Socialdemokratiet","Københavns Omegns Storkreds","http://www.facebook.com/mortenbodskov","Morten B�dskov",8421,2114,"16-06-2015"
"Morten Ellehauge","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/Entropicture.dk","Morten Ellehauge",194,94,"16-06-2015"
"Morten Løkkegaard","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/morten.lokkegaard","Morten L�kkegaard",14779,1975,"16-06-2015"
"Morten Marinus","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/StemMortenMarinus","Morten Marinus",1172,180,"16-06-2015"
"Morten Ryom","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/ryom18","Morten Ryom",2054,727,"16-06-2015"
"Morten Thiessen","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/thiessenmorten","Morten Thiessen",304,121,"16-06-2015"
"Morten Østergaard","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/oestergaard","Morten �stergaard",16262,9649,"16-06-2015"
"Nick Hækkerup","Socialdemokratiet","Nordsjællands Storkreds","https://www.facebook.com/nickhaekkerup","Nick H�kkerup",12477,1342,"16-06-2015"
"Nicolai Wammen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/nicolaiwammen","Nicolai Wammen",13287,6195,"16-06-2015"
"Nicolaj Dupont-Mersing","Venstre","Vestjyllands Storkreds","https://www.facebook.com/nicolajdupontmersing","Nicolaj Dupont-Mersing",111,19,"16-06-2015"
"Niels Møller Jessen","KristenDemokraterne","Sydjyllands storkreds","https://www.facebook.com/nielsibyraad","Stem Niels M�ller Jessen og KD i folketinget",160,125,"16-06-2015"
"Niels Wanning","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/niels.wanning","Niels Wanning",731,89,"16-06-2015"
"Niels Westy","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/niels.westy","Niels Westy",1321,678,"16-06-2015"
"Niko H. Grünfeld","Alternativet","Østjyllands Storkreds","https://www.facebook.com/nikogrunfeld.dk","Niko H. Gr�nfeld",3700,1388,"16-06-2015"
"Nikolaj Amstrup","Alternativet","Fyns Storkreds","https://www.facebook.com/NikolajAmstrupAlternativet","Nikolaj Amstrup",384,132,"16-06-2015"
"Nikolaj Villumsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/nikolaj.villumsen","Nikolaj Villumsen",5406,5086,"16-06-2015"
"Noura Bendali","Nationalpartiet","Fyns Storkreds","https://www.facebook.com/pages/Noura-Bendali/486968118137846","Noura Bendali",635,189,"16-06-2015"
"Ole Hækkerup","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/ole.haekkerup","Ole H�kkerup",5001,1355,"16-06-2015"
"Ole Lynggaard Jørgensen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/pages/Ole-Lynggaard-J%C3%B8rgensen/297280080474770","Ole Lynggaard J�rgensen",162,20,"16-06-2015"
"Orla Hav","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/havorla","Orla Hav",829,711,"16-06-2015"
"Orla Østerby","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/OrlaOsterbyIFolketinget","Orla �sterby i Folketinget",356,210,"16-06-2015"
"Patrick Donovan","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/patrickdonovanifolketinget","Patrick Donovan - Liberal Alliance",245,19,"16-06-2015"
"Paw Amdissen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/pages/Paw-Amdisen-i-folketinget/135980726440944","Paw Amdisen i folketinget",223,89,"16-06-2015"
"Peder Tørnqvist","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Peder-T%C3%B8rnqvist/419200721571789","Peder T�rnqvist",267,159,"16-06-2015"
"Per Bisgaard","Venstre","Nordjyllands Storkreds","https://www.facebook.com/pages/Per-Bisgaard/766775343362733","Per Bisgaard",244,23,"16-06-2015"
"PER FROSTHOLM","Liberal Alliance","Bornholms Storkreds","https://www.facebook.com/pages/Per-B-Frostholm/1563903933887503","Per B. Frostholm",289,39,"16-06-2015"
"Per Løkken","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/plokken","Per L�kken",1190,48,"16-06-2015"
"Per Nørhave","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/pages/Per-N%C3%B8rhave/171689096208824","Per N�rhave",342,68,"16-06-2015"
"Pernille Bloch","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/Pernille.Bloch.i.Folketinget","Pernille Bloch i Folketinget",93,32,"16-06-2015"
"Pernille Boye Koch","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/PernilleBoyeKoch","Pernille Boye Koch",762,416,"16-06-2015"
"Pernille Rosenkrantz-Theil","Socialdemokratiet","Sjællands Storkreds","http://www.facebook.com/pernillerosenkrantz","Pernille Rosenkrantz-Theil",27463,20455,"16-06-2015"
"Pernille Skipper","Enhedslisten","Fyns Storkreds","http://digitalkommunikation.net/valgkamp/fv15/folketingskandidaterne-paa-facebook/www.facebook.com/pernille.skipper.5","Pernille Skipper",16269,6082,"16-06-2015"
"Pernille Vermund","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/MindreStatMereMenneske","Pernille Vermund i Folketinget. Mindre Stat - Mere Menneske",1475,291,"16-06-2015"
"Peter Christensen","Venstre","Sydjyllands Storkreds","https://www.facebook.com/peterchristensen.dk","Peter Christensen",6595,1384,"16-06-2015"
"Peter Kofod Poulsen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/peterifolketinget","Peter Kofod Poulsen",1086,2156,"16-06-2015"
"Peter Skaarup","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/pages/Peter-Skaarup/691707047549076","Peter Skaarup",24839,29365,"16-06-2015"
"Pia Kjærsgaard","Dansk Folkeparti","Københavns Omegns Storkreds","http://www.facebook.com/pages/Pia-Kj%C3%A6rsgaard/33510214383","Pia Kj�rsgaard",112558,72489,"16-06-2015"
"Pia Olsen Dyhr","Socialistisk Folkeparti","Københavns storkreds","http://www.facebook.com/politiker.pia.olsen.dyhr","Pia Olsen Dyhr",28049,13151,"16-06-2015"
"Preben Bang Henriksen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/preben.banghenriksen","Preben Bang Henriksen",996,944,"16-06-2015"
"Preben Bille Brahe","Dansk Folkeparti","Københavns Storkreds","https://www.facebook.com/DFValby","Preben Bille Brahe i Folketinget",220,180,"16-06-2015"
"Qasam N. Ahmad","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/pages/Qasam-N-Ahmad-Alternativet/298157037041855","Qasam N. Ahmad - Alternativet",692,299,"16-06-2015"
"Rasmus Helveg Petersen","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/rasmus.helveg.petersen","Rasmus Helveg Petersen",2793,555,"16-06-2015"
"Rasmus Jarlov","Det Konservative Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/jarlov","Rasmus Jarlov",3786,1529,"16-06-2015"
"Rasmus Nordqvist","Alternativet","Sjællands Storkreds","https://www.facebook.com/rasmus.nordqvist","Rasmus Nordqvist",1789,426,"16-06-2015"
"Rasmus Peter Henriksen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/rasmus.peter.henriksen","Rasmus Peter Henriksen",242,131,"16-06-2015"
"Rasmus Prehn","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/rasmus.prehn","Rasmus Prehn",6518,3139,"16-06-2015"
"Rene Gade","Alternativet","Vestjyllands storkreds","https://www.facebook.com/pages/Ren%C3%A9-Gade/1634197106810421","Ren� Gade",687,353,"16-06-2015"
"René Danielsson","Det Konservative Folkeparti","Bornholms Storkreds","https://www.facebook.com/ReneMiniDanielsson","Ren� Danielsson - Mere borger og lokalsamfund, mindre kommune.",401,7,"16-06-2015"
"Rikke Jakobsen","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/rikkejakobsen.liberalalliance","Rikke Jakobsen Liberal Alliance",121,38,"16-06-2015"
"Roger Matthisen","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Roger-Matthisen/54513516440","Roger Matthisen",496,142,"16-06-2015"
"Rolf Bjerre","Alternativet","Københavns Storkreds","https://www.facebook.com/rolf.bjerre","Rolf Bjerre",4688,1040,"16-06-2015"
"Ronja Rose Ravnskov","Socialistisk Folkeparti","Sjællands storkreds","https://www.facebook.com/StemRonja","Stem Ronja Ravnskov",433,124,"16-06-2015"
"Rosa Lund","Enhedslisten","Københavns Storkreds","http://www.facebook.com/RosaLund.dk","Rosa Lund",4342,1873,"16-06-2015"
"Rune Christiansen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/RuneChristiansenRadikaleVenstre","Rune Christiansen - Radikal folketingskandidat i Sydjylland",429,310,"16-06-2015"
"Rune Kristensen","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/RuneKristenseniFolketinget","Rune Kristensen i Folketinget",1009,157,"16-06-2015"
"Rune Lundgaard Jørgensen","Alternativet","Københavns Storkreds","https://www.facebook.com/flerevedmere","Rune Lundgaard J�rgensen",482,127,"16-06-2015"
"Rune Wingård","Alternativet","Københavns Storkreds","https://www.facebook.com/rune.wingaard","Rune Wing�rd",1088,427,"16-06-2015"
"Samina Shah","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Samina-Shah/712243365561025","Samina Shah",223,101,"16-06-2015"
"Samira Nawa Amini","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/SAMIRA.NAWA","Samira Nawa Amini",5722,954,"16-06-2015"
"Sander Jensen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/radikalesander","Sander Jensen",636,99,"16-06-2015"
"Sanne Bjørn","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/radikalesanne","Sanne Bj�rn",271,61,"16-06-2015"
"Sanne Rubinke","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/pages/Sanne-Rubinke/170528347870","Sanne Rubinke",429,97,"16-06-2015"
"Sarah Maria Grønbæk","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/pages/Sarah-Maria-Gr%C3%B8nb%C3%A6k-i-Folketinget/631589350267891","Sarah Maria Gr�nb�k i Folketinget",155,54,"16-06-2015"
"Sascha Qvortrup","Alternativet","Vestjyllands storkreds","https://www.facebook.com/pages/Sascha-Qvortrup-Alternativet/856687047737575","Sascha Qvortrup - Alternativet",307,66,"16-06-2015"
"Sean Littlewood","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/pages/Sean-Littlewood/308656075921772","Sean Littlewood",188,27,"16-06-2015"
"Serdal Benli","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/serdalbenli","Serdal Benli",2640,1121,"16-06-2015"
"Signe Munk","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/signe.munk.5","Signe Munk",2666,1017,"16-06-2015"
"Simon Emil Ammitzbøll","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/SimonEmil","Simon Emil Ammitzb�ll",19977,11940,"16-06-2015"
"Simon Kollerup","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/simonkollerup","Simon Kollerup",3172,692,"16-06-2015"
"Sine Heltberg","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/sine.heltberg","Sine Olsson Heltberg",600,108,"16-06-2015"
"Sisse Marie Welling","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/pages/Sisse-Marie-Berendt-Welling/174887643104","Sisse Marie Berendt Welling",1395,451,"16-06-2015"
"Sofie Carsten Nielsen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/sofiecarstennielsen","Sofie Carsten Nielsen",6027,1682,"16-06-2015"
"Sophie Danneris Jensen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/SophieDanneris","Sophie Danneris",1032,245,"16-06-2015"
"Sophie Løhde","Venstre","Nordsjællands Storkreds","https://www.facebook.com/SophieLoehde","Sophie L�hde",12559,5340,"16-06-2015"
"Steen Gade","Socialistisk Folkeparti","Vestjyllands storkreds","http://www.facebook.com/pages/Steen-Gade/65668597602","Steen Gade",2353,723,"16-06-2015"
"Steen Holm Iversen","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/SteenHolmIversen","Steen Holm Iversen i Folketinget",554,147,"16-06-2015"
"Steen Rågård","Alternativet","Østjyllands Storkreds","https://www.facebook.com/s.raagaard","Steen R�g�rd",326,65,"16-06-2015"
"Steffen Troldtoft","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/LASteffenTroldtoft","Steffen Troldtoft - Liberal Alliance",76,14,"16-06-2015"
"Stephan Kleinschmidt","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/KleinschmidtDK","Stephan Kleinschmidt i Folketinget",1996,841,"16-06-2015"
"Stine Brix","Enhedslisten","Nordjyllands Storkreds","http://www.facebook.com/stinebrixel","Stine Brix",8043,4378,"16-06-2015"
"Susanne Eilersen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Susanne-Eilersen/126751254065787","Susanne Eilersen",338,213,"16-06-2015"
"Susanne Mathiesen","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/Susanne.Mathiesen.SF","Susanne Mathiesen",418,44,"16-06-2015"
"Susanne Wad Leth","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/SusanneWadLethpolitiker","Susanne Wad Leth",86,19,"16-06-2015"
"Svend Thorhauge","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/SvendThorhauge","Svend Thorhauge",1430,1050,"16-06-2015"
"Søren Bo Søndergaard","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/pages/S%C3%B8ren-S%C3%B8ndergaard/47908701568","S�ren S�ndergaard",20446,2786,"16-06-2015"
"Søren Burchharth","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/pages/S%C3%B8ren-Burcharth/158974520968105","S�ren Burcharth",123,46,"16-06-2015"
"Søren Espersen","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/sorenespersen","S�ren Espersen",9418,41,"16-06-2015"
"Søren Gade","Venstre","Nordjyllands Storkreds","https://www.facebook.com/gadesoeren","S�ren Gade",8299,6283,"16-06-2015"
