"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Kasper Nordborg Kiær","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/KasperNordborgKiaer","Kasper Nordborg Ki�r",843,225,"15-06-2015"
"Kasper Roug","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/folketingskandidata","Kasper Roug",1011,361,"15-06-2015"
"Katarina Ammitzbøll","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Katarina-Ammitzb%C3%B8ll/1541220236121470","Katarina Ammitzb�ll",746,224,"15-06-2015"
"Kathrine Jensen","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/sfkathrinejensen","Kathrine Jensen",135,55,"15-06-2015"
"Keld Lorenzen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Keld-Lorenzen-i-Folketinget/211679818979853","Keld Lorenzen",166,35,"15-06-2015"
"Kenneth F. Christensen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/pages/Kenneth-F-Christensen/377471662422956","Kenneth F. Christensen",256,110,"15-06-2015"
"Kenneth Fredslund Petersen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kenneth-Fredslund-Petersen-Dansk-Folkeparti/1493650460890885","Kenneth Fredslund Petersen - Dansk Folkeparti",1405,1595,"15-06-2015"
"Kenneth Kristensen Berth","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kennethkristensenberth","Kenneth Kristensen Berth",1865,985,"15-06-2015"
"Kent Weiss Holst","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/FolketingsKent","Kent Weiss Holst",100,78,"15-06-2015"
"Kim Hyttel","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/KimHyttelAlternativet","Kim Hyttel",293,55,"15-06-2015"
"Kirsten Brosbøl","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/kirsten.brosbol","Kirsten Brosb�l",7202,1415,"15-06-2015"
"Kirstine van Sabben","Det Konservative Folkeparti","Bornholms Storkreds","https://www.facebook.com/sabbendk","Kirstine van Sabben - Politiker i den virkelige verden",395,75,"15-06-2015"
"Kisser Franciska Lehnert","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/KisserLA","Kisser Franciska Lehnert Politiker - Liberal Alliance",526,50,"15-06-2015"
"Klaus Hjulmand","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/HjulmandLA","Klaus Hjulmand",196,17,"15-06-2015"
"Klaus Markussen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/pages/Klaus-Markussen-i-Folketinget/170651086300657","Klaus Markussen i Folketinget",318,157,"15-06-2015"
"Knud Damgaard","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/knuddla","Knud Damgaard",619,90,"15-06-2015"
"Kristian Andersen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stemkristian","Kristian Andersen - Nordjylland",2601,282,"15-06-2015"
"Kristian Hegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/Khegaard","Kristian Hegaard",5645,4853,"15-06-2015"
"Kristian Jensen","Venstre","Vestjyllands Storkreds","https://www.facebook.com/kristianjensen.venstre","Kristian Jensen",16936,6343,"15-06-2015"
"Kristian Thulesen Dahl","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kristian-Thulesen-Dahl/531761723507375","Kristian Thulesen Dahl",29730,23326,"15-06-2015"
"Kristian Tørning","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kristiantorning","Kristian T�rning",2040,1833,"15-06-2015"
"Kristian Westfall","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/kristian.w.jensen","Kristian Westfall",1541,247,"15-06-2015"
"Kristina Jørgensen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/Kristina.DanskFolkeparti?ref=br_tf","Kristina J�rgensen - Dansk Folkeparti",1253,751,"15-06-2015"
"Kristoffer Hjort Storm","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/KristofferHjortStorm","Kristoffer Hjort Storm",918,337,"15-06-2015"
"Kåre Traberg Smidt","Venstre","Københavns Storkreds","https://www.facebook.com/kaaretrabergsmidt","K�re Traberg Smidt",2097,4401,"15-06-2015"
"Laila Lauridsen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/lailalauridsen","Laila Lauridsen",1162,417,"15-06-2015"
"Lars Barfoed","Det Konservative Folkeparti","Københavns Storkreds","http://www.facebook.com/LarsBarfoed.Konservative","Lars Barfoed",11480,3155,"15-06-2015"
"Lars Chr. Lilleholt","Venstre","Fyns Storkreds","http://www.facebook.com/lilleholt","Lars Chr. Lilleholt",4858,2479,"15-06-2015"
"Lars Løkke Rasmussen","Venstre","Sjællands Storkreds","http://www.facebook.com/larsloekke","Lars L�kke Rasmussen",167430,48949,"15-06-2015"
"Laura Lindahl","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/politikerlauralindahl","Laura Lindahl",8058,2063,"15-06-2015"
"Lea Jannerup Lie","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Lea-Lie/427907994037061","Lea Lie",335,155,"15-06-2015"
"Lea Kielsholm","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/lea.maria.kielsholm","Lea Maria Kielsholm",408,227,"15-06-2015"
"Leif Lahn Jensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/LeifLahn","Leif Lahn Jensen",3389,720,"15-06-2015"
"Leif Mikkelsen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/leif.mikkelsen.524","Leif Mikkelsen",3932,876,"15-06-2015"
"Lene Foged","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Lene-Foged-Folketingskandidat/441211119381442","Lene Foged",209,24,"15-06-2015"
"Line Vanggaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/LineVanggaardPedersen","Line Vanggaard Pedersen",762,344,"15-06-2015"
"Lisbeth Bech Poulsen","Socialistisk Folkeparti","Nordjyllands storkreds","https://www.facebook.com/lisbethbechpoulsen","Lisbeth Bech Poulsen",5710,609,"15-06-2015"
"Lise Bech","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/Lise.Bech.DF","Lise Bech - Dansk Folkeparti",2067,985,"15-06-2015"
"Lise Müller","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/pages/Lise-M%C3%BCller/145989963343","Lise M�ller",735,223,"15-06-2015"
"Liselott Blixt","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/Pialiselottblixt","Liselott Blixt",1821,561,"15-06-2015"
"Liv Holm Andersen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/pages/Liv-Holm-Andersen/308871605863281","Liv Holm Andersen",2650,291,"15-06-2015"
"Lone Loklindt","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/lone.loklindt","Lone Loklindt",1886,432,"15-06-2015"
